latitude,longitude,name,desc,color,source,precision
38.194629,-85.804105,"3900 7TH STREET RD                                    , LOUISVILLE","3900 7th Street Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.283891,-85.632307,"2200 HOLIDAY MANOR CTR                                , LOUISVILLE","2200 Holiday Manor Center, Northfield, Jefferson County, KY, US",,MapQuest Open,address
38.168198,-85.684994,"5600 INDIAN OAKS CIR                                  , LOUISVILLE","5600 Indian Oaks Circle, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.254497,-85.752255,"100 W MARKET ST                                       , LOUISVILLE","100 West Market Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.171245,-85.773536,"500 W SOUTHLAND BLVD                                  , LOUISVILLE","500 West Southland Boulevard, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"N 6TH ST / W MAIN ST                                        , LOUISVILLE",US,,MapQuest Open,country
38.271863,-85.810797,"3800 BANK ST                                          , LOUISVILLE","3800 Bank Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.141633,-85.694911,"1100 CLAY AVE                                         , LOUISVILLE","1100 Clay Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.197395,-85.6332,"4200 WALLINGFORD LN                                   , LOUISVILLE","4200 Wallingford Lane, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.174746,-85.710846,"5100 CRAFTY DR                                        , LOUISVILLE","5100 Crafty Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"E BROADWAY / S CAMPBELL ST                                  , LOUISVILLE",US,,MapQuest Open,country
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.260451,-85.817807,"4100 HERMAN ST                                        , LOUISVILLE","4100 Herman Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.12146,-85.873631,"5600 JOHNSONTOWN RD                                   , LOUISVILLE","5600 Johnsontown Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.171857,-85.83538,"4900 GRASTON AVE                                      , LOUISVILLE","4900 Graston Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.155959,-85.777759,"5300 PARK RD                                          , LOUISVILLE","5300 Park Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.254531,-85.809314,"600 S 35TH ST                                         , LOUISVILLE","600 South 35th Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.18323,-85.708172,"4400 BREITENSTEIN AVE                                 , LOUISVILLE","4400 Breitenstein Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
40.832577,-81.261436,"400 S 4TH ST                                          , LOUISVILLE","4th Street, Louisville, Stark County, OH, US",,MapQuest Open,street
